tokenSymbol,hash,datetime,action,transfer_from,transfer_to,amount,from,total_deposits,total_withdraws,total_deposit_interest,total_borrows,total_repayments,total_borrow_interest,wallet,wallet_name,pool,chain,category
variableDebtgAVAX,0x6d72bebb47885b1e7b13e1e6daac07035db372ed091a054edafd8ed07cd738cf,2021-11-24 17:26:08,borrow,0x0000000000000000000000000000000000000000,0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,1000.0,0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,,,,1000.0,0.0,0.0,0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,RP_HRDWLT,0x56d0fed06d2e0b5ac80d7a9ed0387694bdf90c33,avalanche,1
variableDebtgAVAX,0xca2a98d92384df1e26dc5b5689be10a0953e993de0ee54e722e7144430b640ac,2021-11-25 21:41:56,repay_principal,0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,0x0000000000000000000000000000000000000000,1000.0,0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,,,,1000.0,1000.0,0.0,0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,RP_HRDWLT,0x56d0fed06d2e0b5ac80d7a9ed0387694bdf90c33,avalanche,1
variableDebtgAVAX,0xca2a98d92384df1e26dc5b5689be10a0953e993de0ee54e722e7144430b640ac,2021-11-25 21:41:56,repay_interest,0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,0x0000000000000000000000000000000000000000,1.7998561487199822,0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,,,,1000.0,1001.79985614872,1.7998561487199822,0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,RP_HRDWLT,0x56d0fed06d2e0b5ac80d7a9ed0387694bdf90c33,avalanche,1
variableDebtgAVAX,0xca2a98d92384df1e26dc5b5689be10a0953e993de0ee54e722e7144430b640ac-dummy,2021-11-25 21:41:56,dummy_income,0x0000000000000000000000000000000000000000,0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,1.7998561487199822,0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,,,,1000.0,1001.79985614872,1.7998561487199822,0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,RP_HRDWLT,0x56d0fed06d2e0b5ac80d7a9ed0387694bdf90c33,avalanche,2
FTM,0x394937027a79934d15f0c3ae15e58ce2cbee6f555ff75477d57f722c1a6326bb,2021-12-23 11:52:07,withdraw_interest,0x47102245fea0f8d35a6b28e54505e9ffd83d0704,0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,4.902255153265134,0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,0.0,4.902255153265134,4.902255153265134,,,,0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,RP_HRDWLT,0x47102245fea0f8d35a6b28e54505e9ffd83d0704,fantom,0
FTM,0x800b83fa1b1f747bc4d3e98972fec6be80259422ea380144bd0f660b9734d966,2022-03-11 18:28:41,deposit,0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,0x47102245fea0f8d35a6b28e54505e9ffd83d0704,180000.0,0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,180000.0,4.902255153265134,4.902255153265134,,,,0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,RP_HRDWLT,0x47102245fea0f8d35a6b28e54505e9ffd83d0704,fantom,0
FTM,0x0bca8aee47f887485c3404463c166aafc4ec889b93edc7e9d75b66ce371d2cf0,2022-05-13 00:07:22,withdraw_principal,0x47102245fea0f8d35a6b28e54505e9ffd83d0704,0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,180000.0,0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,180000.0,180004.90225515325,4.902255153265134,,,,0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,RP_HRDWLT,0x47102245fea0f8d35a6b28e54505e9ffd83d0704,fantom,0
FTM,0x0bca8aee47f887485c3404463c166aafc4ec889b93edc7e9d75b66ce371d2cf0,2022-05-13 00:07:22,withdraw_interest,0x47102245fea0f8d35a6b28e54505e9ffd83d0704,0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,1041.138779027504,0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,180000.0,181046.04103418076,1046.041034180769,,,,0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,RP_HRDWLT,0x47102245fea0f8d35a6b28e54505e9ffd83d0704,fantom,0
FTM,0x394937027a79934d15f0c3ae15e58ce2cbee6f555ff75477d57f722c1a6326bb,2021-12-23 11:52:07,gas_fee,0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,0x0000000000000000000000000000000000000000,0.483288,,,,,,,,0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,RP_HRDWLT,0x47102245fea0f8d35a6b28e54505e9ffd83d0704,fantom,2
FTM,0x800b83fa1b1f747bc4d3e98972fec6be80259422ea380144bd0f660b9734d966,2022-03-11 18:28:41,gas_fee,0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,0x0000000000000000000000000000000000000000,0.2959851500396,,,,,,,,0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,RP_HRDWLT,0x47102245fea0f8d35a6b28e54505e9ffd83d0704,fantom,2
FTM,0x0bca8aee47f887485c3404463c166aafc4ec889b93edc7e9d75b66ce371d2cf0,2022-05-13 00:07:22,gas_fee,0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,0x0000000000000000000000000000000000000000,2.446576091446652,,,,,,,,0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,RP_HRDWLT,0x47102245fea0f8d35a6b28e54505e9ffd83d0704,fantom,2
gFTM,0x394937027a79934d15f0c3ae15e58ce2cbee6f555ff75477d57f722c1a6326bb,2021-12-23 11:52:07,repay_interest,0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,0x47102245fea0f8d35a6b28e54505e9ffd83d0704,4.902255153265134,0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,,,,0.0,4.902255153265134,4.902255153265134,0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,RP_HRDWLT,0x47102245fea0f8d35a6b28e54505e9ffd83d0704,fantom,1
